phase,MOF,UG_mine,UG_data,UG_pct_err_mine_vs_data,UV_mine,UV_data,UV_pct_err_mine_vs_data,err_gap_absUV_minus_absUG_pct,classification,dataset_refcode,dataset_name
PS,CAXPIC,0.033990,0.010000,239.900,0.641860,0.120000,434.883,194.983,protocol_or_model_candidate,CAXPIC,CAXPIC_CoRE
PS,ECOTOG,0.004199,0.000000,,0.077042,0.020000,285.210,,minor,ECOTOG,ECOTOG_CoRE
PS,VAGMAT,,8.500000,,,36.510000,,,minor,VAGMAT,VAGMAT_CoRE
PS,XAFFAN,12.461176,8.310000,49.954,45.507827,36.510000,24.645,-25.309,protocol_or_model_candidate,XAFFAN,XAFFAN_CoRE
PS,XAFFIV,12.754280,8.540000,49.348,45.710605,36.580000,24.961,-24.387,protocol_or_model_candidate,XAFFIV,XAFFIV_CoRE
PS,XUJCUB,0.000000,,,0.000000,,,,minor,,
TPS,CAXPIC,0.176165,0.150000,17.443,3.326614,2.750000,20.968,3.524,minor,CAXPIC,CAXPIC_CoRE
TPS,ECOTOG,0.004424,0.000000,,0.081165,0.020000,305.825,,minor,ECOTOG,ECOTOG_CoRE
TPS,VAGMAT,,12.150000,,,50.270000,,,minor,VAGMAT,VAGMAT_CoRE
TPS,XAFFAN,16.798910,11.860000,41.643,61.349098,50.240000,22.112,-19.531,protocol_or_model_candidate,XAFFAN,XAFFAN_CoRE
TPS,XAFFIV,17.003783,12.060000,40.993,60.940581,49.800000,22.371,-18.623,protocol_or_model_candidate,XAFFIV,XAFFIV_CoRE
TPS,XUJCUB,0.000000,,,0.000000,,,,minor,,
